id,y_2011,y_2013,y_2015,y_2016,y_2017,y_2018,y_2020
176,7.0,7.0,7.0,7.0,7.0,7.0,9.0
177,28.0,28.0,29.0,30.0,30.0,29.0,34.0
178,7.0,7.0,7.0,6.0,7.0,7.0,15.0
179,11.0,11.0,12.0,12.0,11.0,12.0,14.0
180,3.0,3.0,3.0,3.0,3.0,3.0,5.0
181,6.0,6.0,6.0,6.0,6.0,6.0,14.0
182,17.0,18.0,18.0,17.0,16.0,16.0,23.0
183,9.0,9.0,9.0,8.0,7.0,7.0,27.0
184,2.0,2.0,3.0,3.0,3.0,3.0,17.0
185,3.0,3.0,3.0,2.0,2.0,2.0,6.0
186,2.0,2.0,2.0,2.0,2.0,2.0,3.0
187,38.0,38.0,40.0,40.0,40.0,40.0,78.0
188,5.0,5.0,5.0,5.0,5.0,5.0,6.0
189,42.0,42.0,42.0,42.0,43.0,43.0,81.0
190,24.0,24.0,24.0,24.0,24.0,24.0,76.0
191,10.0,9.0,9.0,9.0,9.0,10.0,12.0
192,3.0,3.0,3.0,3.0,4.0,5.0,8.0
193,8.0,8.0,8.0,8.0,8.0,9.0,17.0
194,1.0,1.0,1.0,1.0,1.0,1.0,1.0
195,3.0,3.0,3.0,3.0,3.0,3.0,4.0
196,32.0,32.0,32.0,33.0,32.0,32.0,49.0
197,18.0,18.0,17.0,15.0,15.0,15.0,28.0
198,8.0,7.0,7.0,7.0,7.0,7.0,6.0
199,8.0,6.0,3.0,3.0,4.0,4.0,7.0
200,2.0,1.0,1.0,1.0,1.0,1.0,1.0
201,14.0,14.0,14.0,14.0,14.0,14.0,34.0
202,,,,,,,
203,2.0,2.0,2.0,2.0,2.0,2.0,2.0
204,31.0,34.0,37.0,38.0,38.0,38.0,44.0
205,,,,,,,
206,1.0,1.0,3.0,5.0,5.0,6.0,7.0
207,13.0,14.0,17.0,17.0,17.0,17.0,31.0
208,2.0,2.0,3.0,3.0,3.0,3.0,3.0
209,89.0,89.0,89.0,88.0,88.0,89.0,124.0
210,23.0,23.0,23.0,23.0,24.0,25.0,43.0
211,3.0,3.0,3.0,3.0,3.0,3.0,3.0
212,1.0,1.0,1.0,1.0,1.0,1.0,2.0
213,,,,,,,
214,10.0,10.0,11.0,11.0,10.0,9.0,12.0
215,46.0,47.0,47.0,48.0,49.0,48.0,99.0
216,24.0,24.0,24.0,24.0,22.0,24.0,30.0
217,13.0,13.0,14.0,14.0,14.0,14.0,15.0
218,,,,,,,1.0
219,11.0,10.0,10.0,10.0,10.0,9.0,13.0
220,5.0,5.0,5.0,5.0,5.0,5.0,6.0
221,4.0,4.0,4.0,5.0,6.0,6.0,10.0
222,1.0,1.0,1.0,1.0,1.0,1.0,1.0
223,2.0,2.0,2.0,2.0,2.0,2.0,3.0
224,6.0,6.0,7.0,7.0,7.0,8.0,10.0
225,6.0,6.0,7.0,7.0,7.0,7.0,10.0
226,7.0,8.0,8.0,8.0,9.0,9.0,11.0
227,6.0,8.0,8.0,8.0,9.0,10.0,19.0
228,5.0,5.0,7.0,7.0,8.0,10.0,21.0
229,22.0,22.0,24.0,25.0,24.0,26.0,54.0
230,54.0,55.0,54.0,53.0,53.0,54.0,80.0
231,3.0,3.0,3.0,3.0,3.0,3.0,4.0
232,12.0,12.0,8.0,7.0,7.0,6.0,22.0
233,18.0,17.0,18.0,19.0,19.0,19.0,25.0
234,26.0,27.0,26.0,25.0,25.0,26.0,34.0
235,35.0,31.0,31.0,29.0,29.0,29.0,56.0
236,5.0,4.0,3.0,3.0,3.0,3.0,4.0
237,2.0,2.0,2.0,2.0,2.0,2.0,4.0
238,1.0,1.0,1.0,1.0,1.0,1.0,1.0
239,,,,,,,
240,15.0,15.0,15.0,15.0,15.0,16.0,19.0
241,21.0,19.0,19.0,18.0,15.0,15.0,26.0
242,13.0,13.0,13.0,13.0,13.0,13.0,39.0
243,21.0,21.0,21.0,21.0,21.0,21.0,31.0
244,12.0,12.0,12.0,12.0,12.0,12.0,14.0
245,3.0,3.0,2.0,2.0,2.0,2.0,2.0
246,1.0,1.0,1.0,1.0,1.0,1.0,1.0
247,,1.0,1.0,1.0,1.0,1.0,1.0
248,19.0,22.0,21.0,20.0,21.0,20.0,68.0
249,50.0,50.0,51.0,53.0,53.0,56.0,167.0
250,5.0,5.0,4.0,4.0,4.0,4.0,7.0
251,7.0,8.0,7.0,9.0,9.0,12.0,19.0
252,18.0,22.0,24.0,24.0,24.0,25.0,50.0
253,11.0,11.0,11.0,12.0,12.0,12.0,15.0
254,20.0,18.0,18.0,18.0,18.0,18.0,22.0
255,60.0,62.0,63.0,63.0,63.0,64.0,82.0
256,,,,,,,
257,1.0,1.0,1.0,1.0,1.0,1.0,4.0
258,2.0,2.0,2.0,2.0,2.0,2.0,4.0
259,2.0,2.0,2.0,2.0,2.0,2.0,2.0
260,,,,,,,
261,8.0,8.0,8.0,8.0,8.0,7.0,11.0
262,29.0,29.0,31.0,31.0,31.0,32.0,48.0
263,1.0,1.0,1.0,1.0,1.0,1.0,1.0
264,11.0,11.0,11.0,11.0,11.0,11.0,29.0
265,9.0,9.0,9.0,9.0,9.0,9.0,15.0
266,,,,,,,
267,56.0,58.0,58.0,57.0,57.0,57.0,155.0
268,3.0,3.0,3.0,3.0,3.0,3.0,5.0
269,10.0,10.0,10.0,10.0,9.0,9.0,11.0
270,17.0,17.0,17.0,17.0,17.0,17.0,17.0
271,5.0,6.0,6.0,6.0,6.0,6.0,19.0
272,1.0,1.0,1.0,1.0,1.0,1.0,2.0
273,7.0,7.0,7.0,7.0,7.0,7.0,11.0
274,1.0,1.0,1.0,1.0,1.0,1.0,2.0
275,69.0,71.0,72.0,73.0,73.0,73.0,128.0
276,18.0,18.0,18.0,19.0,19.0,20.0,32.0
277,1.0,1.0,1.0,1.0,1.0,1.0,1.0
278,1.0,1.0,1.0,1.0,1.0,1.0,3.0
279,2.0,2.0,2.0,2.0,3.0,9.0,51.0
280,172.0,174.0,172.0,174.0,173.0,176.0,325.0
281,41.0,43.0,39.0,39.0,39.0,34.0,58.0
282,243.0,242.0,243.0,246.0,244.0,249.0,456.0
283,20.0,21.0,21.0,22.0,22.0,23.0,39.0
284,12.0,12.0,12.0,13.0,13.0,14.0,32.0
285,270.0,271.0,272.0,272.0,270.0,269.0,343.0
286,5.0,5.0,5.0,5.0,4.0,4.0,4.0
287,36.0,36.0,34.0,31.0,31.0,31.0,69.0
288,13.0,12.0,12.0,12.0,12.0,12.0,14.0
289,18.0,17.0,18.0,17.0,16.0,16.0,24.0
290,6.0,6.0,6.0,5.0,5.0,6.0,5.0
291,1.0,1.0,1.0,1.0,1.0,1.0,1.0
292,1.0,1.0,1.0,1.0,1.0,1.0,3.0
293,58.0,59.0,60.0,60.0,59.0,60.0,134.0
294,10.0,11.0,11.0,12.0,12.0,12.0,17.0
295,74.0,72.0,72.0,70.0,70.0,72.0,132.0
296,,,1.0,1.0,1.0,1.0,1.0
297,3.0,3.0,3.0,3.0,3.0,3.0,3.0
298,21.0,21.0,21.0,21.0,21.0,22.0,48.0
299,6.0,6.0,6.0,5.0,5.0,5.0,11.0
300,6.0,6.0,6.0,6.0,6.0,6.0,8.0
301,39.0,40.0,40.0,40.0,40.0,41.0,52.0
302,9.0,10.0,11.0,11.0,11.0,11.0,13.0
303,,,,,,,
304,1.0,1.0,1.0,1.0,1.0,1.0,2.0
305,22.0,22.0,21.0,21.0,22.0,22.0,48.0
306,13.0,13.0,13.0,15.0,15.0,15.0,24.0
307,4.0,3.0,4.0,4.0,4.0,4.0,5.0
308,32.0,33.0,33.0,34.0,34.0,34.0,51.0
309,10.0,10.0,10.0,10.0,10.0,10.0,11.0
310,88.0,87.0,87.0,87.0,83.0,77.0,103.0
311,31.0,31.0,31.0,31.0,31.0,32.0,40.0
312,7.0,8.0,8.0,8.0,8.0,8.0,14.0
313,7.0,7.0,7.0,8.0,8.0,8.0,23.0
314,44.0,44.0,44.0,44.0,44.0,44.0,90.0
315,18.0,18.0,18.0,18.0,17.0,17.0,28.0
316,11.0,13.0,13.0,12.0,12.0,12.0,13.0
317,1.0,1.0,1.0,,,,
318,40.0,38.0,40.0,39.0,41.0,43.0,83.0
319,4.0,4.0,5.0,5.0,5.0,5.0,5.0
320,2.0,2.0,2.0,2.0,2.0,2.0,3.0
321,9.0,9.0,9.0,9.0,9.0,9.0,9.0
322,13.0,14.0,14.0,15.0,15.0,15.0,34.0
323,40.0,40.0,41.0,41.0,41.0,41.0,61.0
324,9.0,6.0,6.0,6.0,6.0,6.0,6.0
325,10.0,10.0,10.0,10.0,10.0,11.0,14.0
326,63.0,67.0,67.0,67.0,72.0,73.0,100.0
327,4.0,4.0,4.0,4.0,4.0,4.0,8.0
328,3.0,3.0,3.0,3.0,3.0,3.0,5.0
329,3.0,3.0,3.0,3.0,4.0,4.0,20.0
330,9.0,9.0,8.0,7.0,8.0,8.0,24.0
331,11.0,12.0,12.0,12.0,12.0,12.0,45.0
332,3.0,3.0,3.0,3.0,3.0,3.0,4.0
333,73.0,71.0,70.0,69.0,69.0,70.0,105.0
334,101.0,103.0,99.0,99.0,93.0,89.0,156.0
335,81.0,79.0,79.0,77.0,77.0,77.0,139.0
336,82.0,85.0,84.0,81.0,79.0,78.0,197.0
337,62.0,63.0,61.0,60.0,59.0,54.0,160.0
338,46.0,43.0,49.0,49.0,49.0,48.0,71.0
339,52.0,52.0,51.0,52.0,49.0,48.0,63.0
343,29.0,28.0,28.0,28.0,28.0,28.0,42.0
344,6.0,6.0,6.0,5.0,4.0,5.0,4.0
345,5.0,5.0,5.0,5.0,5.0,5.0,9.0
346,1.0,1.0,,,,,
347,4.0,4.0,4.0,4.0,4.0,4.0,4.0
348,6.0,6.0,6.0,5.0,4.0,4.0,19.0
349,15.0,15.0,15.0,15.0,15.0,15.0,51.0
350,45.0,45.0,46.0,46.0,47.0,46.0,55.0
351,13.0,12.0,12.0,11.0,13.0,13.0,23.0
352,19.0,15.0,17.0,17.0,17.0,17.0,22.0
353,59.0,60.0,59.0,61.0,62.0,60.0,94.0
354,1.0,1.0,1.0,1.0,1.0,1.0,2.0
355,8.0,8.0,8.0,8.0,8.0,8.0,11.0
356,90.0,88.0,88.0,86.0,85.0,84.0,152.0
357,38.0,38.0,38.0,38.0,38.0,37.0,87.0
358,190.0,187.0,186.0,185.0,185.0,183.0,243.0
359,41.0,42.0,40.0,40.0,37.0,36.0,47.0
360,29.0,28.0,28.0,28.0,28.0,28.0,39.0
361,106.0,104.0,101.0,109.0,107.0,109.0,159.0
362,235.0,233.0,229.0,225.0,218.0,212.0,352.0
363,60.0,60.0,60.0,59.0,59.0,60.0,88.0
364,89.0,88.0,88.0,89.0,89.0,89.0,99.0
365,55.0,54.0,55.0,56.0,56.0,56.0,204.0
366,138.0,135.0,129.0,129.0,132.0,130.0,216.0
367,10.0,10.0,14.0,15.0,15.0,15.0,23.0
368,6.0,6.0,6.0,6.0,5.0,5.0,11.0
369,35.0,35.0,35.0,34.0,34.0,33.0,38.0
370,8.0,7.0,7.0,7.0,7.0,7.0,19.0
371,9.0,9.0,9.0,9.0,9.0,9.0,16.0
372,2.0,3.0,3.0,3.0,3.0,4.0,5.0
373,81.0,78.0,77.0,73.0,71.0,69.0,98.0
374,5.0,5.0,5.0,5.0,5.0,5.0,54.0
375,2.0,3.0,3.0,3.0,3.0,3.0,5.0
376,34.0,36.0,37.0,36.0,35.0,33.0,49.0
377,40.0,38.0,37.0,38.0,37.0,35.0,46.0
378,58.0,59.0,57.0,57.0,58.0,57.0,78.0
379,115.0,114.0,114.0,111.0,110.0,109.0,236.0
380,53.0,53.0,55.0,55.0,55.0,55.0,66.0
381,23.0,22.0,21.0,21.0,21.0,20.0,33.0
382,239.0,235.0,236.0,236.0,234.0,233.0,360.0
