id,y_2011,y_2013,y_2015,y_2016,y_2017,y_2018,y_2020,y_2021,y_2022,y_2023
411,522.457,522.457,522.457,522.608,522.608,522.608,522.608,522.608,522.608,522.608
412,2017.534,2017.534,2017.534,2017.499,2017.499,2017.499,2017.499,2017.499,2017.5,2017.5
413,1182.594,1182.594,1182.594,1182.57,1182.57,1182.57,1182.57,1182.57,1183.45,1183.45
416,211.844,211.844,211.844,211.841,211.841,211.841,211.841,211.841,211.841,211.841
417,684.442,684.442,684.442,684.43,684.43,684.43,684.43,684.43,684.429,684.429
418,845.901,845.901,845.901,848.552,848.552,848.552,848.552,848.552,848.813,848.813
419,565.948,565.948,565.948,563.27,563.27,563.27,563.27,563.27,563.008,563.008
420,1299.338,1299.338,1299.338,1299.313,1299.313,1299.313,1299.313,1299.313,1299.31,1299.31
421,723.794,723.794,723.794,723.781,723.781,723.781,723.781,723.781,724.568,724.568
422,3153.78,3153.78,3153.78,3153.767,3153.767,3153.767,3153.767,3153.767,3153.53,3153.53
423,2911.321,2911.321,2911.321,2910.882,2910.882,2910.882,2910.882,2910.882,2910.83,2910.83
424,1113.905,1113.905,1113.905,1083.637,1083.637,1083.637,1083.637,1083.637,1083.24,1083.24
425,1591.806,1591.806,1591.806,1591.774,1591.774,1591.774,1591.774,1591.774,1596.09,1596.09
426,499.406,499.406,499.406,499.397,499.397,499.397,499.397,499.397,499.431,499.431
428,1397.558,1397.558,1397.558,1397.532,1397.532,1397.532,1397.532,1397.532,1397.44,1397.44
430,646.071,646.071,646.071,646.059,646.059,646.059,646.059,646.059,647.807,647.807
431,721.426,721.426,721.426,721.414,721.414,721.414,721.414,721.414,721.414,721.414
432,1322.307,1322.307,1322.307,1322.284,1322.284,1322.284,1322.284,1322.284,1323.43,1323.43
433,238.486,238.486,238.486,238.481,238.481,238.481,238.481,238.481,238.481,238.481
434,3750.282,3750.282,3750.282,3750.827,3750.827,3750.827,3750.827,3750.827,3756.3,3756.3
435,478.995,478.995,478.995,479.18,479.18,479.18,479.18,479.18,479.181,479.181
436,400.582,400.582,400.582,400.575,400.575,400.575,400.575,400.575,400.575,400.575
437,3514.075,3514.075,3514.075,3527.374,3527.374,3527.374,3527.374,3527.374,3529.17,3529.17
438,2158.812,2158.812,2158.812,2158.802,2158.802,2158.802,2158.802,2158.802,2158.02,2158.02
442,462.538,462.538,462.538,462.528,462.528,462.528,462.528,462.528,462.509,462.509
443,276.016,276.016,276.016,276.01,276.01,276.01,276.01,276.01,275.159,275.159
444,377.951,377.951,377.951,377.944,377.944,377.944,377.944,377.944,378.762,378.762
445,671.566,671.566,671.566,671.553,671.553,671.553,671.553,671.553,670.565,670.565
446,697.412,697.412,697.412,697.399,697.399,697.399,697.399,697.399,697.401,697.401
447,1216.678,1216.678,1216.678,1216.656,1216.656,1216.656,1216.656,1216.656,1216.66,1216.66
448,832.652,832.652,832.652,833.066,833.066,833.066,833.066,833.066,833.067,833.067
449,1107.561,1107.561,1107.561,1019.987,1019.987,1019.987,1019.987,1019.987,1019.11,1019.11
450,7732.3,7732.3,7732.3,7732.153,7732.153,7732.153,7732.153,7732.153,7732.73,7732.73
451,3026.322,3026.322,3026.322,3026.265,3026.265,3026.265,3026.265,3026.265,3040.8,3040.8
452,1185.669,1185.669,1185.669,1185.604,1185.604,1185.604,1185.604,1185.604,1185.73,1185.73
453,722.458,722.458,722.458,722.445,722.445,722.445,722.445,722.445,728.456,728.456
454,2248.279,2248.279,2248.279,2248.236,2248.236,2248.236,2248.236,2248.236,2251.34,2251.34
455,1567.032,1567.032,1567.032,1567.003,1567.003,1567.003,1567.003,1567.003,1572.02,1572.02
456,271.848,271.848,271.848,271.842,271.842,271.842,271.842,271.842,272.0,272.0
457,279.659,279.659,279.659,279.654,279.654,279.654,279.654,279.654,279.656,279.656
458,276.673,276.673,276.673,276.668,276.668,276.668,276.668,276.668,256.348,256.348
459,1001.917,1001.917,1001.917,1001.899,1001.899,1001.899,1001.899,1001.899,1001.9,1001.9
460,1075.759,1075.759,1075.759,1075.737,1075.737,1075.737,1075.737,1075.737,1075.76,1075.76
462,3454.263,3454.263,3454.263,3454.199,3454.199,3454.199,3454.199,3454.199,3452.36,3452.36
463,530.596,530.596,530.596,530.586,530.586,530.586,530.586,530.586,530.586,530.586
464,851.191,851.191,851.191,851.175,851.175,851.175,851.175,851.175,851.174,851.174
465,306.804,306.804,306.804,306.798,306.798,306.798,306.798,306.798,306.778,306.778
466,2867.291,2867.291,2867.291,2867.238,2867.238,2867.238,2867.238,2867.238,2867.24,2867.24
467,523.434,523.434,523.434,523.265,523.265,523.265,523.265,523.265,523.264,523.264
468,904.658,904.658,904.658,927.407,927.407,927.407,927.407,927.407,926.104,926.104
469,2783.052,2783.052,2783.052,2771.045,2771.045,2771.045,2771.045,2771.045,2824.5,2824.5
470,499.001,499.001,499.001,467.485,467.485,467.485,467.485,467.485,466.297,466.297
471,562.461,562.461,562.461,562.45,562.45,562.45,562.45,562.45,562.449,562.449
472,406.581,406.581,406.581,374.471,374.471,374.471,374.471,374.471,373.419,373.419
473,485.896,485.896,485.896,496.02,496.02,496.02,496.02,496.02,494.455,494.455
474,501.793,501.793,501.793,481.11,481.11,481.11,481.11,481.11,481.474,481.474
475,946.38,946.38,946.38,946.362,946.362,946.362,946.362,946.362,946.283,946.283
476,1372.215,1372.215,1372.215,1372.253,1372.253,1372.253,1372.253,1372.253,1372.0,1372.0
