id,y_2011,y_2013,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022
387,33.0,49.0,58.0,57.0,82.0,70.0,50.0,46.0,43.0,55.0
388,22.0,27.0,22.0,21.0,20.0,11.0,17.0,14.0,9.0,24.0
389,37.0,36.0,46.0,61.0,56.0,36.0,58.0,36.0,44.0,46.0
390,9.0,8.0,1.0,4.0,8.0,6.0,10.0,6.0,3.0,4.0
391,1.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0
392,4.0,3.0,6.0,4.0,1.0,6.0,6.0,4.0,2.0,6.0
393,20.0,9.0,3.0,13.0,17.0,27.0,20.0,21.0,27.0,34.0
394,5.0,9.0,4.0,2.0,5.0,8.0,5.0,6.0,7.0,3.0
395,,3.0,5.0,4.0,7.0,,,,,
396,,0.0,2.0,,,0.0,2.0,2.0,2.0,
397,5.0,0.0,0.0,6.0,,10.0,,,,
398,2.0,0.0,0.0,0.0,,2.0,,,,
399,2.0,1.0,3.0,9.0,,7.0,,,,
400,,3.0,4.0,0.0,0.0,,,,,
401,,15.0,11.0,7.0,2.0,,,,,
402,,3.0,4.0,2.0,0.0,,,,,
403,,1.0,1.0,,,0.0,1.0,0.0,0.0,
404,8.0,10.0,10.0,12.0,,28.0,,,,
405,0.0,0.0,3.0,6.0,,10.0,,,,
406,,2.0,2.0,,,3.0,0.0,0.0,0.0,
407,,2.0,1.0,,,2.0,1.0,0.0,0.0,
408,,1.0,1.0,,,1.0,0.0,0.0,0.0,
409,0.0,2.0,0.0,1.0,,1.0,,,,
410,1.0,0.0,1.0,0.0,,13.0,,,,
411,1.0,1.0,0.0,2.0,,7.0,,,,
412,0.0,1.0,0.0,1.0,3.0,0.0,,,,
413,4.0,2.0,0.0,1.0,1.0,1.0,,,,
416,2.0,2.0,2.0,4.0,2.0,3.0,,,,
417,3.0,1.0,0.0,4.0,1.0,1.0,,,,
418,2.0,1.0,1.0,3.0,3.0,3.0,,,,
419,1.0,0.0,2.0,1.0,0.0,1.0,,,,
420,1.0,1.0,3.0,2.0,1.0,2.0,,,,
421,2.0,1.0,2.0,0.0,0.0,0.0,,,,
422,13.0,5.0,8.0,5.0,4.0,4.0,,,,
423,,2.0,4.0,,,1.0,0.0,0.0,0.0,
424,2.0,1.0,0.0,0.0,1.0,2.0,,,,
425,,0.0,1.0,,,0.0,0.0,0.0,0.0,
426,,10.0,5.0,6.0,7.0,,,,,
428,,0.0,5.0,,,2.0,1.0,0.0,0.0,
430,3.0,,,,,,,,,
431,,3.0,0.0,,,0.0,0.0,0.0,0.0,
432,,10.0,12.0,4.0,8.0,,,,,
433,,1.0,0.0,0.0,0.0,,,,,
434,3.0,1.0,2.0,1.0,1.0,1.0,,,,
435,,1.0,2.0,,,3.0,0.0,0.0,0.0,
436,,6.0,1.0,,,1.0,0.0,0.0,0.0,
437,2.0,9.0,9.0,2.0,4.0,11.0,,,,
438,0.0,1.0,2.0,10.0,,10.0,,,,
442,,7.0,4.0,,,9.0,3.0,4.0,6.0,
443,0.0,,,,,,,,,
444,1.0,,,,,,,,,
445,1.0,0.0,1.0,0.0,2.0,1.0,,,,
446,2.0,0.0,1.0,1.0,1.0,0.0,,,,
447,4.0,0.0,2.0,0.0,2.0,1.0,,,,
448,6.0,9.0,9.0,12.0,,24.0,,,,
449,1.0,1.0,1.0,3.0,,3.0,,,,
450,2.0,1.0,2.0,1.0,0.0,2.0,,,,
451,,0.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,
452,2.0,0.0,1.0,3.0,2.0,4.0,,,,
453,7.0,,,,,,,,,
454,,1.0,2.0,,,3.0,0.0,1.0,1.0,
455,,1.0,0.0,,,1.0,0.0,0.0,0.0,
456,,7.0,6.0,0.0,0.0,,,,,
457,,1.0,1.0,0.0,0.0,,,,,
458,0.0,1.0,1.0,3.0,,1.0,,,,
