id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
210,0,0,31,0,4,11,14,4,0,0,0
211,0,0,0,18,1,0,2,2,2,4,0
212,0,0,0,0,0,0,0,0,0,2,0
213,0,0,2,0,0,18,19,0,278,1,6
215,0,0,3,2,3,2,0,5,1,2,5
216,0,2,0,8,7,2,2,0,2,10,9
217,0,1,3,1,4,4,0,3,1,0,2
218,0,0,0,0,0,1,0,0,0,0,1
219,28,11,5,209,1,2,7,4,0,0,2
220,0,0,0,0,0,0,0,1,0,1,0
221,0,0,96,0,3,3,2,0,1,2,0
222,0,0,0,5,6,5,4,653,4,6,3
223,0,0,0,0,0,0,1,0,2,0,0
224,0,0,0,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0,1,0,0
226,0,0,1,1,0,1,2,7,0,1,0
227,1,0,0,0,0,3,1,2,0,2,0
228,0,0,0,2,0,0,12,59,143,186,301
229,435,64,76,78,96,93,99,26,131,440,133
230,0,0,0,0,0,288,0,0,0,1,1
231,14,328,19,21,15,4,0,0,239,65,96
232,2,1,8,12,37,63,262,37,20,0,0
233,0,0,0,0,0,1,222,34,59,0,0
234,12,8,0,2,0,1,2,288,324,359,146
235,2,0,1,1,6,8,11,9,4,3,3
236,0,5,6,3,3,0,2,31,2,1,9
237,24,19,14,25,51,67,36,6,3,30,15
238,0,0,1,0,0,0,0,14,0,35,50
240,2,1,0,0,1,3,3,53,88,11,17
241,0,0,0,2,4,6,6,5,2,0,1
242,1,0,5,4,6,0,0,0,0,1,0
243,0,0,0,0,0,1,0,89,209,173,296
244,0,0,1,0,0,0,0,2,0,1,9
245,0,4,0,0,0,4,0,0,0,0,0
246,0,0,0,0,0,0,0,0,0,0,0
247,0,0,0,0,0,0,4,0,3,0,0
248,0,0,0,0,0,0,0,0,0,0,0
249,0,0,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0,1,0
251,14,20,27,13,3,7,20,1,4,0,0
252,0,0,0,0,0,0,0,0,2,8,1
253,1,0,0,0,0,0,0,0,0,3,134
254,0,0,297,0,0,0,0,283,305,27,79
255,0,0,0,0,0,194,1,1,4,11,24
256,25,35,46,121,193,191,910,389,499,379,366
257,70,29,49,209,69,11,21,106,29,4,0
258,0,1,0,16,40,60,0,2,1,6,222
259,0,0,0,0,0,3,97,0,6,2,0
260,0,1,1,4,2,1,1,54,25,1,5
261,0,0,0,0,1,0,0,0,0,0,0
