id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
403,17.9,17.9,17.9,17.89,17.89,17.89,17.89,17.89,17.89,17.89,17.89,17.9042,17.9042
404,4.1,4.1,4.1,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.084630000000001,4.084630000000001
405,5.7,5.7,5.7,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.933490000000001,5.933490000000001
406,13.8,13.8,13.8,13.79,13.78,13.78,13.78,13.78,13.78,13.78,13.78,13.7831,13.7831
407,15.0,15.0,15.0,14.95,14.95,14.95,14.95,14.95,14.95,14.95,14.95,14.9527,14.9527
408,11.1,11.1,11.1,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.1143,11.1143
409,9.9,9.9,9.9,9.94,9.19,9.19,9.19,9.19,9.19,9.19,9.19,9.1784,9.1784
410,2.6,2.6,2.6,2.63,2.46,2.46,2.46,2.46,2.46,2.46,2.46,2.45787,2.45787
411,5.2,5.2,5.2,5.22,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.22608,5.22608
412,20.2,20.2,20.2,20.18,20.17,20.17,20.17,20.17,20.17,20.17,20.17,20.175,20.175
413,11.8,11.8,11.8,11.83,11.83,11.83,11.83,11.83,11.83,11.83,11.83,11.8345,11.8345
416,2.1,2.1,2.1,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.11841,2.11841
417,6.8,6.8,6.8,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84429,6.84429
418,8.5,8.5,8.5,8.46,8.49,8.49,8.49,8.49,8.49,8.49,8.49,8.48813,8.48813
419,5.7,5.7,5.7,5.66,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63008,5.63008
420,13.0,13.0,13.0,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.9931,12.9931
421,7.2,7.2,7.2,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24568,7.24568
422,31.5,31.5,31.5,31.54,31.54,31.54,31.54,31.54,31.54,31.54,31.54,31.535300000000003,31.535300000000003
423,29.1,29.1,29.1,29.11,29.11,29.11,29.11,29.11,29.11,29.11,29.11,29.1083,29.1083
424,11.1,11.1,11.1,11.14,10.84,10.84,10.84,10.84,10.84,10.84,10.84,10.8324,10.8324
425,15.9,15.9,15.9,15.92,15.92,15.92,15.92,15.92,15.92,15.92,15.92,15.960899999999999,15.960899999999999
426,5.0,5.0,5.0,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99431,4.99431
428,14.0,14.0,14.0,13.98,13.98,13.98,13.98,13.98,13.98,13.98,13.98,13.974400000000001,13.974400000000001
430,6.5,6.5,6.5,6.46,6.46,6.46,6.46,6.46,6.46,6.46,6.46,6.47807,6.47807
431,7.2,7.2,7.2,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.2141399999999996,7.2141399999999996
432,13.2,13.2,13.2,13.22,13.22,13.22,13.22,13.22,13.22,13.22,13.22,13.234300000000001,13.234300000000001
433,2.4,2.4,2.4,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38481,2.38481
434,37.5,37.5,37.5,37.5,37.51,37.51,37.51,37.51,37.51,37.51,37.51,37.563,37.563
435,4.8,4.8,4.8,4.79,4.79,4.79,4.79,4.79,4.79,4.79,4.79,4.79181,4.79181
436,4.0,4.0,4.0,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.00575,4.00575
437,35.1,35.1,35.1,35.14,35.27,35.27,35.27,35.27,35.27,35.27,35.27,35.2917,35.2917
