"id","y_2013","y_2014","y_2015","y_2016","y_2017","y_2018","y_2019","y_2020","y_2021"
330,21,16,22,29,27,26,15,10,23
331,9,7,,,10,,,28,11
332,15,15,21,19,16,20,17,20,12
333,34,37,37,31,37,19,21,15,31
334,,,,,,,,6,
335,36,43,36,36,46,32,39,2,42
336,44,52,51,48,52,30,43,23,32
337,17,14,17,8,13,12,,40,9
338,5,4,10,9,,,,8,
339,,,,,,,,21,
343,,,,3,,,,60,
344,4,3,5,3,,,,121,
345,6,5,7,6,,9,16,12,4
346,21,27,23,28,25,23,21,13,16
347,5,7,,5,,,,15,
348,31,13,32,24,15,14,22,29,27
349,16,18,21,13,20,,,44,5
350,11,16,15,14,,13,10,13,18
351,12,14,7,15,10,13,12,72,6
352,34,25,30,27,27,31,46,83,39
353,25,19,27,30,31,34,22,19,30
354,6,9,6,6,,,,6,14
355,,8,,9,,,11,34,17
356,55,59,56,41,60,68,80,53,69
357,9,15,19,6,14,16,13,5,11
358,29,22,26,21,24,27,24,21,37
359,10,7,12,23,,25,11,53,8
360,47,58,60,55,47,34,39,10,42
361,8,11,11,3,10,,,7,2
362,25,24,29,33,33,24,21,64,23
363,18,16,17,24,17,21,17,11,20
364,11,12,17,14,18,14,18,13,15
365,2,2,9,6,,,,12,4
366,4,6,7,5,,,,26,
367,12,13,11,23,12,10,18,7,23
368,32,31,33,33,28,17,24,23,27
369,9,13,6,10,16,,11,45,7
370,26,32,28,27,32,19,14,24,21
371,52,55,66,55,60,46,47,13,84
372,101,94,122,112,113,114,109,24,152
373,6,10,5,10,,,16,11,11
374,13,20,19,16,12,16,10,54,21
375,16,15,10,21,11,21,24,15,13
376,45,32,33,37,31,26,31,18,25
377,45,53,47,49,57,42,39,24,59
378,12,7,9,9,13,15,11,25,15
379,67,61,56,63,74,51,56,5,68
380,72,85,58,74,79,72,72,26,80
381,12,8,10,11,10,11,,46,10
382,11,13,11,12,12,9,13,9,7
383,20,21,48,34,29,19,23,19,27
385,50,33,40,42,48,42,30,33,40
386,9,10,8,6,,,,18,6
387,25,34,26,45,37,28,35,19,30
388,6,8,5,10,12,,,12,9
389,59,50,62,64,67,50,46,21,48
390,8,5,10,5,,,,35,
391,9,15,10,17,14,12,19,12,13
392,46,53,40,50,48,51,64,16,69
393,12,18,18,16,17,11,13,10,19
394,16,15,16,17,11,15,22,46,20
395,21,7,17,19,16,15,14,24,12
396,17,26,21,24,22,20,25,25,14
397,6,,,5,,,,11,7
398,,,6,6,,,,13,4
399,7,18,13,10,13,14,22,20,24
400,23,35,28,31,48,39,34,20,43
401,33,25,9,20,26,26,17,33,19
402,11,19,21,19,10,24,15,28,17
403,23,20,17,30,23,16,19,22,28
404,21,18,13,18,13,13,13,25,26
405,35,31,36,35,55,39,36,22,50
406,11,11,15,10,15,12,15,7,14
407,15,25,19,22,14,18,15,26,17
408,25,27,21,21,20,20,17,33,29
409,12,25,21,23,18,29,23,22,21
410,,4,10,4,,,,29,6
411,7,12,23,14,27,13,15,41,27
412,5,6,7,6,,,,12,
413,33,49,52,50,53,62,54,21,56
416,9,7,8,10,,,,21,8
417,21,19,6,16,14,14,11,18,13
418,15,18,18,29,32,34,28,12,12
419,22,21,28,36,27,28,25,12,25
420,14,20,16,23,19,28,16,31,10
421,9,,3,14,,,,35,11
422,15,12,14,18,7,23,29,15,20
423,19,21,19,18,27,19,11,14,23
424,,8,,7,,,,30,7
425,7,11,7,10,17,,22,14,9
426,21,25,19,17,29,21,21,25,21
428,8,13,12,24,22,20,12,41,11
430,23,23,24,40,50,30,25,17,50
431,17,19,22,23,22,13,12,28,16
432,37,41,32,22,24,26,19,23,19
433,19,11,11,13,12,11,,9,10
434,12,16,9,21,18,18,15,17,12
435,,,5,,,,,22,6
436,25,12,23,19,18,17,22,16,28
437,10,10,17,12,11,18,13,23,16
438,8,7,18,20,22,25,32,,34
442,23,26,20,34,28,34,26,,31
443,13,15,30,15,18,,11,,12
444,23,28,21,25,23,16,12,,23
445,22,30,28,28,29,17,30,,19
446,10,6,11,16,,10,16,,13
447,8,11,18,19,23,11,15,,24
448,15,22,20,24,27,18,14,,31
449,6,10,13,12,15,,10,,13
450,27,28,41,23,24,11,27,,23
451,32,32,41,47,40,48,55,,68
452,13,7,,12,11,,,,9
453,6,10,13,13,10,8,11,,13
454,15,18,25,15,14,14,14,,15
455,13,17,24,16,19,17,14,,14
456,,,,,,,,,
457,17,18,15,7,,17,9,,16
458,10,8,16,13,11,,14,,21
459,34,40,37,34,29,26,42,,34
460,35,31,39,35,38,18,35,,39
462,10,12,6,12,9,11,13,,16
463,22,13,24,14,14,11,16,,14
464,28,29,32,38,31,32,36,,48
465,14,12,12,11,14,12,17,,7
466,16,22,20,19,26,17,23,,33
467,30,27,33,24,26,35,33,,36
468,,,5,,,,,,
469,18,8,21,14,14,26,17,,23
470,12,16,21,16,23,16,28,,20
471,24,15,12,27,27,23,17,,20
472,6,5,7,,,13,11,,12
473,10,7,7,10,13,,15,,9
474,13,7,14,20,11,15,28,,23
475,22,9,10,15,,18,14,,21
476,11,17,9,14,,16,19,,21
