id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
307,6.0,5.0,6.0,9.0,8.0,8.0,10.0,12.0,8.0,7.0,11.0,20.0,22.0
308,9.0,5.0,5.0,3.0,4.0,6.0,8.0,2.0,4.0,9.0,21.0,11.0,6.0
309,4.0,9.0,7.0,6.0,7.0,16.0,6.0,3.0,5.0,10.0,11.0,15.0,12.0
310,2.0,4.0,6.0,4.0,4.0,5.0,4.0,7.0,12.0,11.0,6.0,13.0,16.0
311,15.0,5.0,6.0,15.0,7.0,8.0,13.0,11.0,9.0,24.0,13.0,23.0,15.0
312,1.0,1.0,0.0,1.0,1.0,1.0,6.0,2.0,3.0,2.0,3.0,1.0,3.0
313,4.0,1.0,1.0,0.0,2.0,1.0,1.0,5.0,5.0,5.0,8.0,12.0,5.0
314,5.0,7.0,11.0,5.0,8.0,9.0,13.0,24.0,13.0,11.0,20.0,22.0,15.0
315,11.0,7.0,4.0,12.0,12.0,15.0,7.0,11.0,10.0,19.0,18.0,12.0,10.0
316,4.0,4.0,2.0,4.0,10.0,6.0,1.0,10.0,4.0,4.0,5.0,13.0,19.0
317,2.0,1.0,3.0,3.0,5.0,4.0,4.0,2.0,12.0,7.0,10.0,6.0,5.0
318,14.0,4.0,10.0,8.0,8.0,10.0,13.0,9.0,8.0,13.0,15.0,11.0,24.0
319,6.0,7.0,5.0,10.0,7.0,5.0,6.0,10.0,13.0,20.0,22.0,30.0,36.0
320,15.0,16.0,16.0,14.0,26.0,29.0,18.0,21.0,18.0,32.0,18.0,22.0,16.0
321,2.0,3.0,2.0,5.0,7.0,1.0,8.0,4.0,3.0,7.0,6.0,12.0,11.0
322,3.0,5.0,3.0,1.0,2.0,6.0,5.0,2.0,3.0,5.0,4.0,9.0,10.0
323,13.0,7.0,4.0,6.0,8.0,8.0,9.0,8.0,11.0,6.0,7.0,11.0,14.0
324,3.0,14.0,8.0,10.0,5.0,12.0,8.0,7.0,9.0,8.0,20.0,14.0,19.0
325,11.0,10.0,2.0,7.0,10.0,6.0,11.0,7.0,10.0,7.0,13.0,19.0,32.0
326,1.0,3.0,3.0,8.0,7.0,5.0,3.0,11.0,11.0,7.0,14.0,6.0,12.0
327,1.0,2.0,3.0,6.0,5.0,3.0,9.0,1.0,6.0,9.0,4.0,10.0,9.0
328,6.0,2.0,1.0,1.0,3.0,4.0,3.0,9.0,1.0,3.0,8.0,11.0,7.0
329,5.0,1.0,2.0,4.0,2.0,5.0,5.0,1.0,4.0,4.0,10.0,5.0,4.0
330,2.0,3.0,0.0,2.0,4.0,4.0,4.0,8.0,7.0,8.0,4.0,8.0,4.0
331,0.0,3.0,3.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,23.0,3.0,1.0
332,0.0,3.0,2.0,3.0,4.0,6.0,4.0,5.0,7.0,7.0,9.0,9.0,4.0
333,2.0,7.0,5.0,18.0,9.0,12.0,11.0,9.0,6.0,10.0,9.0,32.0,18.0
334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
