"id","y_2013","y_2014","y_2015","y_2016","y_2017","y_2018","y_2019","y_2020","y_2021"
288,0.2,0.2,0.13,0.11,0.13,0.13,0.22,0.17,0.18
289,0.41,0.29,0.41,0.45,0.41,0.39,0.43,0.58,0.57
290,,0.09,0.09,0.06,,0.11,0.11,0.09,0.1
291,0.29,0.25,0.22,0.24,0.23,0.25,0.2,0.25,0.25
292,0.14,0.14,0.14,0.13,0.15,,,0.07,0.11
293,0.11,0.07,0.17,0.06,,0.12,,0.11,0.07
294,0.12,0.15,0.11,0.13,0.19,0.17,,0.09,0.09
295,0.17,0.23,0.11,0.16,0.15,,0.11,0.17,0.13
296,0.1,0.12,0.1,0.21,0.19,0.24,0.17,0.27,0.22
297,,,,,,,,0.08,
298,0.06,0.12,0.13,0.1,0.14,0.15,0.18,0.13,0.12
299,0.28,0.27,0.36,0.3,0.38,0.38,0.24,0.23,0.39
300,,0.06,0.06,0.13,,,,,0.1
301,0.31,0.24,0.29,0.17,0.27,0.18,0.26,0.31,0.28
302,0.22,0.34,0.33,0.37,0.24,0.24,0.18,0.37,0.18
303,0.16,0.11,0.18,0.1,0.2,0.22,0.15,0.14,0.13
304,0.11,,0.11,0.09,0.1,,,0.08,0.08
305,,0.07,0.07,0.05,0.12,,,0.18,0.14
306,,0.05,0.09,0.05,,,,0.06,0.1
307,0.47,0.42,0.43,0.33,0.55,0.34,0.37,0.35,0.46
308,0.07,0.2,0.16,0.21,0.16,0.14,0.17,0.2,0.16
309,0.17,0.19,0.25,0.3,0.19,0.26,0.23,0.25,0.3
310,0.44,0.45,0.47,0.44,0.4,0.45,0.44,0.37,0.35
311,0.1,0.1,0.07,0.06,0.13,,,0.09,0.17
312,0.29,0.2,0.19,0.15,0.26,0.14,,0.19,0.27
313,0.13,0.36,0.24,0.3,0.24,0.27,0.24,0.18,0.28
314,0.3,0.21,0.23,0.13,0.17,,0.11,0.17,0.27
315,,,,,,,,,
316,0.4,0.44,0.32,0.53,0.38,0.33,0.28,0.45,0.48
317,0.08,0.11,0.08,,,,,0.14,0.09
318,0.11,0.06,0.07,0.09,,,,0.06,0.06
319,0.47,0.45,0.39,0.44,0.41,0.33,0.44,0.39,0.43
320,0.1,0.1,0.06,,,0.19,0.23,0.09,0.08
321,0.18,0.16,0.26,0.1,0.16,,,0.22,0.07
322,0.16,0.14,0.16,0.1,0.17,,,0.07,0.07
323,0.5,0.39,0.43,0.41,0.45,0.22,0.28,0.3,0.28
324,0.16,0.14,0.1,0.1,0.14,,,0.09,0.09
325,0.29,0.32,0.27,0.35,0.31,0.14,0.27,0.37,0.25
326,0.16,0.17,0.12,,,,,0.05,0.06
327,0.33,0.15,0.16,0.16,0.19,0.18,0.16,0.24,0.23
328,0.12,0.14,0.09,0.11,,0.12,,0.12,0.19
329,0.26,0.23,0.19,0.31,0.28,0.27,0.24,0.22,0.23
330,0.23,0.19,0.32,0.3,0.29,0.27,0.18,0.29,0.25
331,0.13,0.09,,,0.13,,,0.09,0.12
332,0.17,0.17,0.22,0.22,0.18,0.21,0.2,0.23,0.16
333,0.41,0.4,0.44,0.38,0.49,0.23,0.24,0.37,0.42
334,,,,,,,,,
335,0.4,0.44,0.37,0.36,0.47,0.36,0.43,0.47,0.47
336,0.52,0.54,0.55,0.49,0.53,0.39,0.54,0.56,0.34
337,0.19,0.15,0.19,0.08,0.13,0.15,,0.11,0.11
338,0.15,0.07,0.12,0.12,,,,,
339,,,,,,,,,
343,,,,0.05,,,,0.08,
344,0.09,0.06,0.06,0.05,,,,0.09,
345,0.07,0.07,0.1,0.07,,0.14,0.18,,0.06
346,0.33,0.33,0.27,0.38,0.29,0.23,0.24,0.21,0.21
347,0.06,0.07,,0.07,,,,,
348,0.32,0.22,0.35,0.29,0.18,0.16,0.23,0.16,0.29
349,0.2,0.19,0.21,0.14,0.22,,,0.11,0.05
350,0.11,0.16,0.15,0.15,,0.14,0.11,0.23,0.18
351,0.13,0.17,0.08,0.15,0.1,0.14,0.13,0.1,0.08
352,0.36,0.26,0.3,0.27,0.27,0.32,0.52,0.4,0.43
353,0.25,0.19,0.27,0.3,0.31,0.34,0.23,0.28,0.32
354,0.07,0.09,0.08,0.07,,,,0.09,0.14
355,,0.1,,0.11,,,0.12,0.17,0.17
356,0.57,0.61,0.59,0.42,0.61,0.7,0.81,0.54,0.7
357,0.11,0.17,0.21,0.07,0.16,0.18,0.14,0.16,0.13
358,0.29,0.25,0.28,0.21,0.26,0.27,0.25,0.44,0.4
359,0.1,0.08,0.13,0.24,,0.29,0.14,0.12,0.08
360,0.61,0.64,0.66,0.63,0.48,0.42,0.41,0.65,0.48
361,0.12,0.13,0.13,0.05,0.12,,,0.12,0.07
362,0.32,0.36,0.43,0.38,0.4,0.25,0.23,0.31,0.26
363,0.33,0.28,0.29,0.26,0.23,0.24,0.2,0.24,0.27
364,0.11,0.12,0.17,0.14,0.18,0.14,0.18,0.15,0.16
365,0.1,0.07,0.12,0.07,,,,0.06,0.05
366,0.08,0.06,0.08,0.05,,,,0.05,
367,0.13,0.14,0.11,0.27,0.13,0.11,0.2,0.25,0.23
368,0.38,0.36,0.37,0.35,0.31,0.18,0.28,0.42,0.3
369,0.24,0.16,0.11,0.13,0.2,,0.11,0.09,0.08
370,0.49,0.49,0.36,0.34,0.39,0.22,0.16,0.34,0.4
371,0.74,0.77,0.81,0.7,0.69,0.53,0.54,0.76,1.01
372,1.05,0.98,1.26,1.12,1.15,1.23,1.24,1.22,1.55
373,0.07,0.1,0.05,0.11,,,0.16,0.12,0.11
374,0.22,0.29,0.32,0.21,0.17,0.18,0.11,0.18,0.33
375,0.17,0.15,0.11,0.21,0.11,0.21,0.27,0.15,0.13
376,0.45,0.34,0.37,0.39,0.35,0.27,0.34,0.3,0.29
377,0.5,0.56,0.48,0.52,0.59,0.53,0.5,0.46,0.66
378,0.12,0.08,0.09,0.1,0.13,0.15,0.11,0.13,0.16
379,0.69,0.61,0.56,0.63,0.74,0.53,0.58,0.72,0.69
380,0.76,0.85,0.59,0.75,0.79,0.77,0.78,0.85,0.8
381,0.18,0.1,0.14,0.14,0.12,0.11,,0.22,0.15
382,0.18,0.18,0.16,0.17,0.14,0.12,0.14,0.1,0.09
383,0.33,0.28,0.53,0.44,0.35,0.26,0.24,0.39,0.33
385,0.69,0.5,0.64,0.49,0.59,0.47,0.36,0.7,0.56
386,0.18,0.13,0.09,0.09,,,,0.06,0.07
387,0.41,0.44,0.31,0.59,0.45,0.34,0.37,0.23,0.37
388,0.12,0.1,0.07,0.1,0.13,,,,0.1
389,0.87,0.69,0.75,0.75,0.86,0.61,0.6,0.57,0.59
390,0.13,0.06,0.11,0.06,,,,0.11,
391,0.11,0.17,0.1,0.17,0.15,0.14,0.19,0.08,0.15
392,0.47,0.54,0.41,0.52,0.48,0.54,0.65,0.65,0.71
393,0.19,0.2,0.21,0.19,0.18,0.17,0.14,0.11,0.27
394,0.19,0.18,0.18,0.19,0.14,0.17,0.25,0.14,0.24
395,0.22,0.07,0.17,0.19,0.18,0.15,0.14,0.13,0.15
396,0.2,0.29,0.24,0.26,0.27,0.27,0.32,0.3,0.15
397,0.06,,,0.05,,,,0.09,0.07
398,,,0.06,0.07,,,,,0.05
399,0.09,0.18,0.13,0.1,0.13,0.14,0.24,0.23,0.25
